# -- start of yaml config --
# ---
# app:
#   name: strand-cam-pylon
#   version: 0.11.1
#   git_hash: 313a43e8b8154508d78f5b914b2fc569781a68e7
# camera:
#   vendor: Basler
#   model: Basler-22117938
#   serial: "22117938"
#   width: 1280
#   height: 1024
# created_at: "2022-05-06T10:55:10.489690743+02:00"
# csv_rate_limit: ~
# object_detection_cfg:
#   do_update_background_model: false
#   polarity: DetectDark
#   alpha: 0.01
#   n_sigma: 7.0
#   bright_non_gaussian_cutoff: 255
#   bright_non_gaussian_replacement: 5
#   bg_update_interval: 200
#   diff_threshold: 30
#   use_cmp: true
#   max_num_points: 1
#   feature_window_size: 30
#   clear_fraction: 0.3
#   despeckle_threshold: 5
#   valid_region:
#     Circle:
#       center_x: 640
#       center_y: 512
#       radius: 512
# -- end of yaml config --
time_microseconds,frame,x_px,y_px,orientation_radians_mod_pi,central_moment,led_1,led_2,led_3
33071,38600,301.0,481.3,0.882,1883,0,0,16000
66422,38601,302.6,482.6,0.682,1559,0,0,16000
99812,38602,307.7,485.4,0.457,1752,0,0,16000
133063,38603,312.0,486.9,0.499,1990,0,0,16000
166467,38604,313.0,487.3,0.580,2376,0,0,16000
199735,38605,314.3,487.6,0.602,3056,0,0,16000
233142,38606,316.0,488.1,0.556,3569,0,0,16000
266463,38607,317.4,488.7,0.533,3928,0,0,16000
299733,38608,319.2,489.8,0.531,4106,0,0,16000
333077,38609,321.4,490.5,0.531,4098,0,0,16000
366471,38610,323.8,491.7,0.521,4124,0,0,16000
399835,38611,325.4,492.7,0.494,4136,0,0,16000
433087,38612,327.6,493.8,0.476,4175,0,0,16000
466484,38613,329.9,494.7,0.481,4317,0,0,16000
499731,38614,332.3,495.7,0.495,4317,0,0,16000
533081,38615,335.0,496.8,0.468,4293,0,0,16000
566494,38616,337.8,498.1,0.476,4312,0,0,16000
599914,38617,340.0,499.3,0.438,4340,0,0,16000
633135,38618,342.8,500.8,0.428,4336,0,0,16000
666385,38619,345.3,502.0,0.421,4405,0,0,16000
699720,38620,347.7,503.0,0.406,4395,0,0,16000
733141,38621,350.4,504.2,0.407,4320,0,0,16000
766534,38622,353.0,505.2,0.398,4399,0,0,16000
799800,38623,355.8,505.8,0.369,4423,0,0,16000
833143,38624,358.8,506.8,0.378,4397,0,0,16000
866502,38625,361.3,507.9,0.362,4453,0,0,16000
899769,38626,364.1,508.6,0.320,4346,0,0,16000
933135,38627,367.2,509.9,0.314,4532,0,0,16000
966498,38628,369.7,510.3,0.297,4547,0,0,16000
999822,38629,372.5,511.2,0.296,4542,0,0,16000
1033211,38630,374.6,512.0,0.270,4573,0,0,16000
1066450,38631,377.3,512.6,0.246,4684,0,0,16000
1099761,38632,380.7,513.1,0.242,4713,0,0,16000
1133738,38633,383.9,514.3,0.238,4743,0,0,16000
1166352,38634,386.8,515.1,0.250,4713,0,0,16000
1199732,38635,389.8,515.8,0.248,4661,0,0,16000
1233240,38636,393.3,517.1,0.252,4718,0,0,16000
1266463,38637,396.2,517.7,0.239,4766,0,0,16000
1299841,38638,399.1,518.4,0.228,4872,0,0,16000
1333091,38639,401.3,519.6,0.250,4752,0,0,16000
1366616,38640,402.7,520.7,0.296,4845,0,0,16000
1399833,38641,405.2,521.5,0.301,4755,0,0,16000
1433121,38642,406.6,522.4,0.350,4934,0,0,16000
1466563,38643,408.5,523.5,0.370,4930,0,0,16000
1499867,38644,410.1,524.2,0.345,4927,0,0,16000
1533124,38645,412.0,524.9,0.361,5057,0,0,16000
1566851,38646,412.8,525.5,0.413,5117,0,0,16000
1600124,38647,414.5,526.5,0.477,4977,0,0,16000
1633483,38648,415.7,527.8,0.599,4980,0,0,16000
1666644,38649,416.9,529.5,0.773,5016,0,0,16000
1699753,38650,417.7,531.3,0.872,5222,0,0,16000
1733000,38651,418.6,533.7,0.991,5160,0,0,16000
1766407,38652,419.0,536.3,1.061,5120,0,0,16000
1799790,38653,419.3,538.9,1.096,4867,0,0,16000
1833070,38654,419.9,541.6,1.095,5095,0,0,16000
1866473,38655,420.7,544.2,1.127,5098,0,0,16000
1899828,38656,421.9,547.2,1.180,4913,0,0,16000
1933120,38657,422.7,550.0,1.146,4991,0,0,16000
1966480,38658,423.8,552.7,1.101,5072,0,0,16000
1999775,38659,425.5,555.7,1.093,5026,0,0,16000
2033112,38660,426.6,557.8,1.044,5043,0,0,16000
2066434,38661,428.1,560.3,0.993,5019,0,0,16000
2099797,38662,429.1,562.3,1.018,5019,0,0,16000
2133093,38663,430.4,564.6,0.996,4986,0,0,16000
2166485,38664,431.5,567.1,0.994,5233,0,0,16000
2199756,38665,432.4,569.3,0.987,5106,0,0,16000
2233199,38666,433.6,572.0,0.981,5091,0,0,16000
2266536,38667,434.5,573.2,0.965,5151,0,0,16000
2299791,38668,436.3,575.8,0.951,5136,0,0,16000
2333087,38669,437.9,578.3,0.927,5182,0,0,16000
2366465,38670,439.4,580.8,0.890,4981,0,0,16000
2399743,38671,441.0,583.1,0.899,5075,0,0,16000
2433100,38672,442.6,585.1,0.884,5210,0,0,16000
2466449,38673,444.6,587.6,0.849,5176,0,0,16000
2499774,38674,446.5,590.1,0.857,5119,0,0,16000
2533269,38675,448.2,592.3,0.840,5061,0,0,16000
2566523,38676,450.3,594.8,0.822,5097,0,0,16000
2599787,38677,452.4,597.4,0.835,5131,0,0,16000
2633114,38678,454.3,599.7,0.792,5109,0,0,16000
2666384,38679,456.5,602.2,0.779,5169,0,0,16000
2699786,38680,458.3,604.4,0.736,5204,0,0,16000
2733058,38681,459.9,606.5,0.786,5353,0,0,16000
2766412,38682,461.3,608.7,0.738,5203,0,0,16000
2799799,38683,462.7,610.9,0.717,5241,0,0,16000
2833361,38684,464.8,613.5,0.688,5233,0,0,16000
2866415,38685,466.6,615.6,0.672,5235,0,0,16000
2899784,38686,468.5,617.6,0.623,5176,0,0,16000
